name,l,b,RA_1,dec_1,name_2,RA_2,dec_2,Field,StarID,Separation
Gaia20btf,357.24226,2.56745,262.21966,-29.88542,KMT-2020-BLG-0036,17:28:52.72,-29:53:07.48,BLG11M0601,1049,0.038170622800889044
Gaia20bth,359.56256,3.67371,262.61857,-27.34202,KMT-2020-BLG-0044,17:30:28.46,-27:20:31.20,BLG12M0404,4104,0.08367768034621142
Gaia20bti,356.18127,-4.6417,268.80574,-34.58746,KMT-2020-BLG-0104,17:55:13.38,-34:35:14.60,SAO21M0706,2013,0.2577098662710188
Gaia20btq,2.13819,2.82822,264.96232,-25.63105,KMT-2020-BLG-0180,17:39:50.96,-25:37:51.78,SSO16N0401,432,0.04327671555592386
Gaia20btx,271.48739,-28.16087,263.34003,-29.87273,KMT-2020-BLG-0188,17:33:21.61,-29:52:21.79,SSO14T0601,3002,0.05263448640024236
Gaia20buc,3.53763,-1.72936,270.12279,-26.76827,KMT-2020-BLG-0286,18:00:29.48,-26:46:05.70,SSO35T0701,2537,0.15679147800917784
Gaia20dtu,358.55532,1.4031,264.16586,-29.41935,KMT-2020-BLG-0394,17:36:39.81,-29:25:09.66,SSO14T0105,2942,0.04703659063902213
Gaia20dtw,2.96114,1.9215,266.29596,-25.40803,KMT-2020-BLG-0101,17:45:11.03,-25:24:28.98,BLG19T0203,1758,0.07220368838107645
Gaia20dup,1.00663,-4.51663,271.47952,-30.33692,KMT-2019-BLG-1015,18:05:55.09,-30:20:12.91,SSO04N0507,2613,0.06734918345384987
Gaia20dvb,2.58185,-6.29993,274.15329,-29.80276,KMT-2020-BLG-0448,18:16:36.75,-29:48:09.43,SSO33M0302,64621,0.7222971534209083
Gaia20dvf,3.46989,-2.37032,270.71064,-27.14358,KMT-2020-BLG-0647,18:02:50.56,-27:08:36.82,SSO43M0707,7944,0.10918698498382948
Gaia20ecz,2.09951,-2.07151,269.65225,-28.18557,KMT-2020-BLG-0695,17:58:36.54,-28:11:07.91,SSO02M0107,7113,0.1419999999978742
Gaia20edf,359.39163,-1.98037,267.99856,-30.4777,KMT-2020-BLG-0641,17:51:59.66,-30:28:39.50,SSO41K0406,2111,0.2316048639871515
Gaia20edm,1.85277,0.7909,266.73035,-26.94232,KMT-2020-BLG-0626,17:46:55.28,-26:56:32.28,SSO18N0707,1189,0.0896936107232058
Gaia20edn,1.08645,0.99861,266.08219,-27.48823,KMT-2020-BLG-0574,17:44:19.72,-27:29:17.59,SSO18T0303,224,0.08364666985951259
Gaia20eqj,359.51811,2.42546,263.77457,-28.05795,KMT-2020-BLG-0764,17:35:05.89,-28:03:28.69,SSO14K0307,1405,0.1140271471134759
Gaia20eqp,0.14886,-1.59926,268.06463,-29.63223,KMT-2020-BLG-0834,17:52:15.51,-29:37:55.42,SAO02T0404,30966,0.6082012781774725
Gaia20eqs,0.97466,-1.94479,268.88586,-29.09518,KMT-2020-BLG-0797,17:55:32.61,-29:05:42.58,SSO02N0708,4281,0.08276781043786052
Gaia20equ,0.51863,-3.45061,270.12691,-30.2407,KMT-2020-BLG-0787,18:00:30.45,-30:14:26.41,SSO04T0607,434,0.1547549824072231
Gaia20eri,2.55095,1.78011,266.19267,-25.83158,KMT-2020-BLG-0838,17:44:46.25,-25:49:53.58,SSO18K0207,3393,0.16459751935372996
Gaia21awi,1.37643,2.18134,265.12431,-26.61921,KMT-2021-BLG-0058,17:40:29.84,-26:37:09.16,BLG15M0201,148,0.07520279547921181
Gaia21axa,4.42098,-1.28564,270.18118,-25.7814,KMT-2021-BLG-3063,18:00:43.49,-25:46:52.86,SAO35K0701,1637,0.20207884737301
Gaia21bia,0.77137,-1.41204,268.24256,-29.00118,KMT-2021-BLG-0164,17:52:58.22,-29:00:04.21,SAO42K0201,15877,0.08271295202923994
Gaia21bsu,5.65854,3.82269,266.05582,-22.11816,KMT-2021-BLG-0067,17:44:13.42,-22:07:05.66,BLG20K0403,84,0.42964118072336016
Gaia21bst,357.7234,3.88827,261.26597,-28.75232,KMT-2021-BLG-0243,17:25:03.84,-28:45:08.32,BLG12T0502,4343,0.09994565397580756
Gaia21dyh,355.09378,-3.0296,266.44766,-34.70035,KMT-2021-BLG-0978,17:45:47.44,-34:42:01.19,BLG37M0705,5272,0.07272776084029456
Gaia21dyl,357.24996,-4.65394,269.45885,-33.6696,KMT-2021-BLG-0254,17:57:50.13,-33:40:10.49,BLG22N0306,1654,0.1025200670147093
Gaia21dyr,358.50371,1.22368,264.30791,-29.55922,KMT-2021-BLG-2119,17:37:13.90,-29:33:33.19,SAO14N0804,2204,0.02097189411931517
Gaia21dys,359.29672,1.45998,264.56543,-28.76311,KMT-2021-BLG-2031,17:38:15.70,-28:45:47.20,BLG14M0601,1126,0.0422672974512845
Gaia21dyt,359.72793,1.75208,264.54653,-28.24268,KMT-2021-BLG-1349,17:38:11.16,-28:14:33.68,BLG14M0605,2389,0.10037996936692528
Gaia21dyw,358.5184,-4.09375,269.62593,-32.29347,KMT-2021-BLG-1264,17:58:30.22,-32:17:36.49,BLG22M0208,7992,0.0406247523642108
Gaia21eja,2.73436,-4.12205,272.03776,-28.63759,KMT-2021-BLG-2184,18:08:09.06,-28:38:15.22,BLG32T0603,6965,0.1086936621179633
Gaia21eju,1.00101,3.25393,263.88722,-26.36387,KMT-2021-BLG-2181,17:35:32.94,-26:21:49.90,SAO15K0303,3704,0.10192094278283373
Gaia21ejy,357.3018,3.57797,261.29147,-29.2746,KMT-2021-BLG-2090,17:25:09.96,-29:16:28.49,BLG11K0405,7427,0.11736669992969453
Gaia22avq,6.24418,-3.05583,272.8756,-25.05311,KMT-2022-BLG-0118,18:11:30.16,-25:03:11.09,SAO31K0406,7385,0.24188295118453215
Gaia22bgo,7.13437,1.57075,268.95739,-22.00402,KMT-2022-BLG-0145,17:55:49.78,-22:00:14.62,BLG38M0704,3036,0.17270282659640515
Gaia22bie,355.68426,-2.53688,266.30894,-33.94042,KMT-2022-BLG-0096,17:45:14.15,-33:56:25.51,BLG17N0804,3431,0.05479134279923923
Gaia22btf,354.63512,-1.83098,264.91642,-34.46096,KMT-2022-BLG-0052,17:39:39.95,-34:27:39.42,SSO13N0108,4464,0.1193419133737851
