name_1,l,b,RA_1,dec_1,viewreduceddatum,name_2,type,created,modified,ra_2,dec_2,epoch,parallax,pm_ra,pm_dec,galactic_lng,galactic_lat,distance,distance_err,scheme,epoch_of_elements,mean_anomaly,arg_of_perihelion,eccentricity,lng_asc_node,inclination,mean_daily_motion,semimajor_axis,epoch_of_perihelion,ephemeris_period,ephemeris_period_err,ephemeris_epoch,ephemeris_epoch_err,perihdist,priority,ztf_alert_name,TNS_ID,classification,maglast,dont_update_me,jdlastobs,aavso_name,cadence,gaia_alert_name,fun name,update_me,tweet,gaiadr2_id,calib_server_name,dicovery_date,Sun_separation,Separation
Gaia19eca,6.09968,-2.43848,272.20203,-24.88254,,Gaia19eca,SIDEREAL,2019-12-11 01:04:26.972949+00:00,2022-08-18 01:06:49.679094+00:00,272.20203,-24.88254,2000.0,,,,6.09968283988918,-2.4384755554040036,,,,,,,,,,,,,,,,,,0.0,ZTF19abagvae,,High-mag microlensing,15.83,true,2458952.65,,100.0,Gaia19eca,,,false,4065780659901123072,ivo://Gaia19eca,,127.20006795828182,0.0
Gaia19eim,306.46773,-0.74777,200.77615,-63.40191,,Gaia19eim,SIDEREAL,2019-12-11 01:30:07.067166+00:00,2022-08-18 01:06:49.769007+00:00,200.77615,-63.40191,2000.0,,,,306.46772826740306,-0.7477672704607087,,,,,,,,,,,,,,,,,,0.0,,,Microlensing,18.49,true,2458939.164,,100.0,Gaia19eim,,,false,5865179649848744448,ivo://Gaia19eim,,86.96593813857152,0.0
Gaia19eku,290.24275,-1.6402,165.21395,-61.7568,,Gaia19eku,SIDEREAL,2020-01-14 12:18:16.710686+00:00,2022-08-18 01:07:52.919268+00:00,165.21395,-61.7568,2000.0,,,,290.2427526255508,-1.6401958179499352,,,,,,,,,,,,,,,,,,0.0,,,Microlensing,19.82,true,2458936.496,,100.0,Gaia19eku,,,false,,ivo://Gaia19eku,,76.36743488545861,0.0
Gaia19esp,303.54394,-0.94797,194.24624,-63.81313,,Gaia19esp,SIDEREAL,2020-01-14 12:16:28.272526+00:00,2022-08-18 01:07:45.126609+00:00,194.24624,-63.81313,2000.0,,,,303.5439393368464,-0.9479742672600333,,,,,,,,,,,,,,,,,,0.0,,AT2019tgd,Microlensing,17.68,false,2459781.79084,,100.0,Gaia19esp,,,false,,ivo://Gaia19esp,,85.05380343759958,0.0
Gaia19evd,288.02612,-4.46373,158.13601,-63.24245,,Gaia19evd,SIDEREAL,2019-12-11 22:29:02.096380+00:00,2022-08-18 01:06:58.035404+00:00,158.13601,-63.24245,2000.0,,,,288.02612464457803,-4.4637272917707715,,,,,,,,,,,,,,,,,,1.0,,,Microlensing,18.59,false,2459782.45506,,100.0,Gaia19evd,,,false,5252000741025317504,ivo://Gaia19evd,,76.97920887459816,0.0
Gaia20ayb,1.34975,-7.63305,274.87197,-31.50297,,Gaia20ayb,SIDEREAL,2020-02-24 07:27:13.399900+00:00,2022-08-18 01:10:18.115996+00:00,274.87197,-31.50297,2000.0,,,,1.3497479528362848,-7.633052487645416,,,,,,,,,,,,,,,,,,0.0,,,Bulge long microlensing,17.61,false,2459690.6898,,100.0,Gaia20ayb,,,false,4046236948112467456,ivo://Gaia20ayb,,128.9363148204504,0.0
Gaia20bgu,308.40269,-1.98481,205.559,-64.31565,,Gaia20bgu,SIDEREAL,2020-03-23 11:56:05.948282+00:00,2022-08-18 01:11:10.316694+00:00,205.559,-64.31565,2000.0,,,,308.402691449006,-1.9848130347445891,,,,,,,,,,,,,,,,,,0.0,,,Possible bright microlensing,16.67,false,2459781.04372,,100.0,Gaia20bgu,,,false,,ivo://Gaia20bgu,,89.20461701596979,0.0
Gaia20bof,299.26406,-0.86052,184.61816,-63.49726,,Gaia20bof,SIDEREAL,2020-04-24 13:40:13.150487+00:00,2022-08-18 01:11:19.059027+00:00,184.61816,-63.49726,2000.0,,,,299.2640646132733,-0.8605200108816017,,,,,,,,,,,,,,,,,,1.0,,,bright microlensing event,15.79,false,2459782.28799,,10.0,Gaia20bof,,,false,,ivo://Gaia20bof,,81.99880945665248,0.0
Gaia20cfp,292.0937,6.21947,173.81875,-55.04153,,Gaia20cfp,SIDEREAL,2021-10-25 12:41:40.568407+00:00,2022-08-18 01:41:23.439391+00:00,173.81875,-55.04153,2000.0,,,,292.0936964790139,6.219474809973157,,,,,,,,,,,,,,,,,,7.0,,AT2020jsz,Microlensing,19.03,false,2459784.71146,,2.0,Gaia20cfp,,,false,,ivo://Gaia20cfp,,71.92070981821924,0.0
Gaia20cwd,53.92068,1.2326,291.63793,19.17868,,Gaia20cwd,SIDEREAL,2020-08-14 06:59:14.304033+00:00,2022-08-18 01:12:34.636455+00:00,291.63793,19.17868,2000.0,,,,53.920684374304955,1.2326009841893735,,,,,,,,,,,,,,,,,,3.0,ZTF20aaybkbm,,potential microlensing event candidate or Be star,16.49,false,2459807.7438426,,5.0,Gaia20cwd,,,false,4515586537497090816,ivo://Gaia20cwd,,132.3511028503131,0.0
Gaia20drf,342.58079,-2.0536,256.28434,-44.52041,,Gaia20drf,SIDEREAL,2021-04-29 01:16:32.072081+00:00,2022-08-18 01:30:11.354860+00:00,256.28434,-44.52041,2000.0,,,,342.5807909393045,-2.053598625411865,,,,,,,,,,,,,,,,,,4.0,,AT2020rbh,,17.56,false,2459690.27799,,1.0,Gaia20drf,,,false,,ivo://Gaia20drf,,112.88835979498508,0.0
Gaia20dup,1.00663,-4.51663,271.47952,-30.33692,,Gaia20dup,SIDEREAL,2021-07-09 11:10:43.488584+00:00,2022-08-18 01:34:07.330626+00:00,271.47952,-30.33692,2000.0,,,,1.0066256630318484,-4.516631298197978,,,,,,,,,,,,,,,,,,6.0,,AT2020rpu,candidate microlensing event,16.55,false,2459689.76402,,1.0,Gaia20dup,,,false,,ivo://Gaia20dup,,126.17707664773259,0.0
Gaia20dwf,12.26909,-3.77001,276.62254,-20.08113,,Gaia20dwf,SIDEREAL,2021-01-21 12:13:26.453195+00:00,2022-08-18 01:25:00.493294+00:00,276.62254,-20.08113,2000.0,,,,12.26909,-3.77001,,,,,,,,,,,,,,,,,,1.0,,AT2020rrw,possible microlensing event,16.68,false,2459689.00539,,10.0,Gaia20dwf,,,false,,ivo://Gaia20dwf,,131.35290601673125,0.0
Gaia20enh,329.85883,-4.18446,245.84457,-55.55372,,Gaia20enh,SIDEREAL,2020-10-12 10:27:50.393749+00:00,2022-08-18 01:13:41.127632+00:00,245.84457,-55.55372,2000.0,,,,329.8588296025948,-4.184464020855814,,,,,,,,,,,,,,,,,,0.0,,AT2020umj,bright microlensing in the Disk,18.63,false,2459773.22852,,100.0,Gaia20enh,,,false,,ivo://Gaia20enh,,105.84378335889997,0.0
Gaia20erh,189.58179,-10.24358,82.45271,15.42842,,Gaia20erh,SIDEREAL,2020-11-23 10:35:11.729652+00:00,2022-08-18 01:14:26.619715+00:00,82.45271,15.42842,2000.0,,,,189.58178922713586,-10.243575675628628,,,,,,,,,,,,,,,,,,1.0,ZTF20abztmco,,long microlensing event,18.61,false,2459685.12503,,1.0,Gaia20erh,,,false,,ivo://Gaia20erh,,62.41839623029913,0.0
