JD;Magnitude;Error;Facility;Filter;Owner
2459524.4676046;16.40116310119629;0.0726644545870333;ObsMontsec-Umut Burgaz;B(APASS);ObsMontsec-Umut Burgaz
2459524.4690596;16.394031524658203;0.0785957646142026;ObsMontsec-Umut Burgaz;B(APASS);ObsMontsec-Umut Burgaz
2459524.4714566;15.071025848388672;0.0680169392540534;ObsMontsec-Umut Burgaz;i(APASS);ObsMontsec-Umut Burgaz
2459524.4722385;15.04752254486084;0.0845894786859371;ObsMontsec-Umut Burgaz;i(APASS);ObsMontsec-Umut Burgaz
2459524.4730147;15.061841011047363;0.0862640621515069;ObsMontsec-Umut Burgaz;i(APASS);ObsMontsec-Umut Burgaz
2459525.3326273;15.620121002197266;0.1246060465860567;GeoNAO_SXVR-H36, Teimuraz Kvernadze;V(APASS);GeoNAO_SXVR-H36, Teimuraz Kvernadze
2459525.34064817;15.395302772521973;0.0935848945289766;GeoNAO_SXVR-H36, Teimuraz Kvernadze;r(APASS);GeoNAO_SXVR-H36, Teimuraz Kvernadze
2459525.34831017;15.04873275756836;0.2137868839579882;GeoNAO_SXVR-H36, Teimuraz Kvernadze;i(APASS);GeoNAO_SXVR-H36, Teimuraz Kvernadze
2459526.31363422;15.646175384521484;0.0774152605207023;GeoNAO_SXVR-H36, Teimuraz Kvernadze;V(APASS);GeoNAO_SXVR-H36, Teimuraz Kvernadze
2459526.3216551;15.414377212524414;0.0815859506381175;GeoNAO_SXVR-H36, Teimuraz Kvernadze;r(APASS);GeoNAO_SXVR-H36, Teimuraz Kvernadze
2459526.32966441;15.151115417480469;0.0851041412012975;GeoNAO_SXVR-H36, Teimuraz Kvernadze;i(APASS);GeoNAO_SXVR-H36, Teimuraz Kvernadze
2459526.4034103;15.647978782653809;0.0570871089071613;ObsMontsec-Umut Burgaz;V(APASS);ObsMontsec-Umut Burgaz
2459526.4045285;15.672670364379885;0.060068205993385;ObsMontsec-Umut Burgaz;V(APASS);ObsMontsec-Umut Burgaz
2459526.4056496;15.645415306091309;0.0524291720600847;ObsMontsec-Umut Burgaz;V(APASS);ObsMontsec-Umut Burgaz
2459526.4069165;15.425471305847168;0.0495018069635267;ObsMontsec-Umut Burgaz;r(APASS);ObsMontsec-Umut Burgaz
2459526.4077015;15.44009494781494;0.0488833371415902;ObsMontsec-Umut Burgaz;r(APASS);ObsMontsec-Umut Burgaz
2459526.4084864;15.414255142211914;0.0503130757558368;ObsMontsec-Umut Burgaz;r(APASS);ObsMontsec-Umut Burgaz
2459526.4096509;15.185994148254396;0.0609286883401201;ObsMontsec-Umut Burgaz;i(APASS);ObsMontsec-Umut Burgaz
2459526.4104099;15.170783042907717;0.0628410796474721;ObsMontsec-Umut Burgaz;i(APASS);ObsMontsec-Umut Burgaz
2459526.4111832;15.167945861816406;0.0631395553637858;ObsMontsec-Umut Burgaz;i(APASS);ObsMontsec-Umut Burgaz
2459526.4148725;16.377349853515625;0.0782258151158745;ObsMontsec-Umut Burgaz;B(APASS);ObsMontsec-Umut Burgaz
2459526.41633;16.398937225341797;0.0785534679266562;ObsMontsec-Umut Burgaz;B(APASS);ObsMontsec-Umut Burgaz
2459526.4178133;16.391807556152344;0.0985885972923013;ObsMontsec-Umut Burgaz;B(APASS);ObsMontsec-Umut Burgaz
2459526.4194221;15.65892505645752;0.0596108840459063;ObsMontsec-Umut Burgaz;V(APASS);ObsMontsec-Umut Burgaz
2459526.4205347;15.672389030456545;0.0559433678688036;ObsMontsec-Umut Burgaz;V(APASS);ObsMontsec-Umut Burgaz
2459526.4216616;15.661728858947754;0.0544076105359947;ObsMontsec-Umut Burgaz;V(APASS);ObsMontsec-Umut Burgaz
2459526.4229169;15.426067352294922;0.0489067937779694;ObsMontsec-Umut Burgaz;r(APASS);ObsMontsec-Umut Burgaz
2459526.4236843;15.40406608581543;0.0520018019427584;ObsMontsec-Umut Burgaz;r(APASS);ObsMontsec-Umut Burgaz
2459526.4244633;15.43272876739502;0.0510584651006541;ObsMontsec-Umut Burgaz;r(APASS);ObsMontsec-Umut Burgaz
2459526.4254019;15.163082122802734;0.0660328115674526;ObsMontsec-Umut Burgaz;i(APASS);ObsMontsec-Umut Burgaz
2459526.4261609;15.177157402038574;0.0601682295430652;ObsMontsec-Umut Burgaz;i(APASS);ObsMontsec-Umut Burgaz
2459526.4331817;15.659472465515137;0.0655732515305478;ObsMontsec-Umut Burgaz;V(APASS);ObsMontsec-Umut Burgaz
2459526.4342857;15.637530326843262;0.0512006409936447;ObsMontsec-Umut Burgaz;V(APASS);ObsMontsec-Umut Burgaz
2459526.4354475;15.674237251281738;0.0512209196747245;ObsMontsec-Umut Burgaz;V(APASS);ObsMontsec-Umut Burgaz
2459526.4367319;15.426199913024902;0.0555938768443646;ObsMontsec-Umut Burgaz;r(APASS);ObsMontsec-Umut Burgaz
2459526.4375138;15.4292631149292;0.0510249291585312;ObsMontsec-Umut Burgaz;r(APASS);ObsMontsec-Umut Burgaz
2459526.4382785;15.41879653930664;0.0555095525582129;ObsMontsec-Umut Burgaz;r(APASS);ObsMontsec-Umut Burgaz
2459526.4394171;15.163331985473633;0.0688152035765633;ObsMontsec-Umut Burgaz;i(APASS);ObsMontsec-Umut Burgaz
2459526.4401758;15.152277946472168;0.0703889088461387;ObsMontsec-Umut Burgaz;i(APASS);ObsMontsec-Umut Burgaz
2459526.4409605;15.12674045562744;0.0792097273262863;ObsMontsec-Umut Burgaz;i(APASS);ObsMontsec-Umut Burgaz
2459526.4419197;16.368324279785156;0.0818345193134444;ObsMontsec-Umut Burgaz;B(APASS);ObsMontsec-Umut Burgaz
2459526.4433975;16.411911010742188;0.0838669582400521;ObsMontsec-Umut Burgaz;B(APASS);ObsMontsec-Umut Burgaz
2459526.4464928;15.61322021484375;0.0576840956000761;ObsMontsec-Umut Burgaz;V(APASS);ObsMontsec-Umut Burgaz
2459526.4476025;15.671021461486816;0.0697157916768708;ObsMontsec-Umut Burgaz;V(APASS);ObsMontsec-Umut Burgaz
2459526.4487066;15.63703441619873;0.0597542397800236;ObsMontsec-Umut Burgaz;V(APASS);ObsMontsec-Umut Burgaz
2459526.4499473;15.44510269165039;0.0590541694230717;ObsMontsec-Umut Burgaz;r(APASS);ObsMontsec-Umut Burgaz
2459526.4507325;15.428059577941896;0.0599802925727235;ObsMontsec-Umut Burgaz;r(APASS);ObsMontsec-Umut Burgaz
2459526.4515087;15.431011199951172;0.0611745365081379;ObsMontsec-Umut Burgaz;r(APASS);ObsMontsec-Umut Burgaz
2459526.4527057;16.435678482055664;0.0804203073772531;ObsMontsec-Umut Burgaz;B(APASS);ObsMontsec-Umut Burgaz
2459526.4541577;16.418760299682617;0.0829845807891897;ObsMontsec-Umut Burgaz;B(APASS);ObsMontsec-Umut Burgaz
2459526.4556359;16.403915405273438;0.0826835310815235;ObsMontsec-Umut Burgaz;B(APASS);ObsMontsec-Umut Burgaz
2459526.457317;15.177291870117188;0.0737371011490893;ObsMontsec-Umut Burgaz;i(APASS);ObsMontsec-Umut Burgaz
2459526.4580902;15.15867805480957;0.0727803102302887;ObsMontsec-Umut Burgaz;i(APASS);ObsMontsec-Umut Burgaz
2459526.4588577;15.159683227539062;0.0711529279745069;ObsMontsec-Umut Burgaz;i(APASS);ObsMontsec-Umut Burgaz
2459526.4597993;16.41388511657715;0.075324399577957;ObsMontsec-Umut Burgaz;B(APASS);ObsMontsec-Umut Burgaz
2459526.4612629;16.39421844482422;0.0745885380049115;ObsMontsec-Umut Burgaz;B(APASS);ObsMontsec-Umut Burgaz
