JD;Magnitude;Error;Facility;Filter;Owner
2459350.157288206;16.958698272705078;0.0797178986846482;TRT-SBO0.7 Supachai Awipan;V(APASS);TRT-SBO0.7 Supachai Awipan
2459350.158919109;16.196264266967773;0.116436440631519;TRT-SBO0.7 Supachai Awipan;r(APASS);TRT-SBO0.7 Supachai Awipan
2459350.1605366203;15.378290176391602;0.1264895723706093;TRT-SBO0.7 Supachai Awipan;i(APASS);TRT-SBO0.7 Supachai Awipan
2459350.2026768983;16.926746368408203;0.0732313651710934;TRT-SBO0.7 Supachai Awipan;V(APASS);TRT-SBO0.7 Supachai Awipan
2459350.2042937847;16.07905387878418;0.1049245705658293;TRT-SBO0.7 Supachai Awipan;r(APASS);TRT-SBO0.7 Supachai Awipan
2459350.20591625;15.159500122070312;0.1207115532879423;TRT-SBO0.7 Supachai Awipan;i(APASS);TRT-SBO0.7 Supachai Awipan
2459350.2481580093;17.04770851135254;0.0754509600361453;TRT-SBO0.7 Supachai Awipan;V(APASS);TRT-SBO0.7 Supachai Awipan
2459350.2497659028;16.240976333618164;0.1085831029419699;TRT-SBO0.7 Supachai Awipan;r(APASS);TRT-SBO0.7 Supachai Awipan
2459350.251545243;15.401901245117188;0.1173337338179525;TRT-SBO0.7 Supachai Awipan;i(APASS);TRT-SBO0.7 Supachai Awipan
2459350.2939448147;16.999679565429688;0.0699938944377246;TRT-SBO0.7 Supachai Awipan;V(APASS);TRT-SBO0.7 Supachai Awipan
2459350.29553934;16.12062644958496;0.081740893484125;TRT-SBO0.7 Supachai Awipan;r(APASS);TRT-SBO0.7 Supachai Awipan
2459350.297134572;15.230539321899414;0.1006385049571016;TRT-SBO0.7 Supachai Awipan;i(APASS);TRT-SBO0.7 Supachai Awipan
2459350.8399594;15.3888521194458;0.0514902600989737;LCOGT1m, Etienne Bachelet;i(APASS);LCOGT1m, Etienne Bachelet
2459350.84173;17.86435890197754;0.0434756533429338;LCOGT1m, Etienne Bachelet;g(APASS);LCOGT1m, Etienne Bachelet
2459351.1103384607;17.309110641479492;0.0908560179026566;TRT-SBO0.7 Supachai Awipan;V(APASS);TRT-SBO0.7 Supachai Awipan
2459351.113624433;15.55744457244873;0.1108563688229219;TRT-SBO0.7 Supachai Awipan;i(APASS);TRT-SBO0.7 Supachai Awipan
2459351.15640809;17.279367446899414;0.0847955279905448;TRT-SBO0.7 Supachai Awipan;V(APASS);TRT-SBO0.7 Supachai Awipan
2459351.1584214466;16.25654411315918;0.0870019742002427;TRT-SBO0.7 Supachai Awipan;r(APASS);TRT-SBO0.7 Supachai Awipan
2459351.16003897;15.562261581420898;0.120302058642305;TRT-SBO0.7 Supachai Awipan;i(APASS);TRT-SBO0.7 Supachai Awipan
2459351.2112772223;16.59952163696289;0.1669430206311387;TRT-SBO0.7 Supachai Awipan;r(APASS);TRT-SBO0.7 Supachai Awipan
2459351.212860776;15.51071834564209;0.1190523799088097;TRT-SBO0.7 Supachai Awipan;i(APASS);TRT-SBO0.7 Supachai Awipan
2459351.255041829;17.25222396850586;0.0727549861154686;TRT-SBO0.7 Supachai Awipan;V(APASS);TRT-SBO0.7 Supachai Awipan
2459351.2567389;16.129924774169922;0.0861221246710728;TRT-SBO0.7 Supachai Awipan;r(APASS);TRT-SBO0.7 Supachai Awipan
