hjd,camera,mag,mag_err,flux,flux_err
2457501.09474,ba,15.692,0.06338,2.131,0.124
2457663.93101,bb,15.613,0.06223,2.18,0.125
2456528.89327,bb,15.587,0.06107,2.234,0.126
2457163.04008,ba,15.555,0.05735,2.418,0.128
2457590.08774,ba,15.868,0.07203,1.813,0.12
2457241.00873,ba,15.608,0.05961,2.304,0.126
2457625.87456,ba,15.535,0.05653,2.464,0.128
2457961.07125,ba,15.569,0.05794,2.388,0.127
2457131.12092,bb,15.48,0.05649,2.466,0.128
2457360.74175,bb,15.543,0.05914,2.325,0.126
2457212.08452,ba,15.508,0.05543,2.524,0.129
2457309.8324,ba,15.54,0.05673,2.453,0.128
2458054.74492,ba,15.511,0.05555,2.519,0.129
2457995.77939,bb,15.578,0.06067,2.254,0.126
2456904.89874,bb,15.64,0.06347,2.127,0.124
2457991.74517,ba,15.537,0.05661,2.459,0.128
2457681.85331,ba,15.668,0.06228,2.178,0.125
2456914.87167,ba,15.506,0.05535,2.529,0.129
2456989.72279,ba,15.678,0.06274,2.16,0.125
2456894.89977,ba,15.54,0.05673,2.451,0.128
2456918.8639,ba,15.521,0.05595,2.495,0.128
2457597.85213,bb,15.588,0.06111,2.233,0.126
2456920.8768,bb,15.613,0.06223,2.181,0.125
2457311.72462,ba,15.53,0.05632,2.474,0.128
2457309.73362,bb,15.589,0.06115,2.231,0.126
2456889.90716,ba,0.0,99.99,-1.286,0.116
2456847.95336,ba,15.011,0.03913,3.993,0.144
2457180.08846,bb,15.598,0.06156,2.212,0.125
2457228.84538,bb,15.583,0.06089,2.242,0.126
2458072.77003,ba,15.636,0.06084,2.244,0.126
2457241.99998,ba,15.612,0.05979,2.295,0.126
2457696.83459,bb,15.576,0.06058,2.257,0.126
2457145.06938,bb,15.704,0.0665,2.007,0.123
2456478.95527,bb,15.541,0.05905,2.331,0.127
2456993.73944,bb,15.532,0.05866,2.349,0.127
2457676.83588,ba,15.674,0.06255,2.167,0.125
2456986.72774,ba,15.497,0.05499,2.551,0.129
2456896.89596,ba,15.524,0.05608,2.489,0.128
2457122.13386,bb,0.0,99.99,0.833,0.201
2457203.96493,bb,15.771,0.06983,1.885,0.121
2457883.05951,bb,15.395,0.05311,2.666,0.13
2458049.84416,ba,15.655,0.06169,2.206,0.125
2456804.04632,bb,15.628,0.06292,2.151,0.125
2457236.0597,bb,15.569,0.06027,2.272,0.126
2457871.0746,ba,15.507,0.05539,2.528,0.129
2456866.95442,ba,15.638,0.06093,2.24,0.126
2457273.96077,bb,15.55,0.05944,2.311,0.126
2458036.79799,bb,15.515,0.05794,2.388,0.127
2457200.92728,bb,15.617,0.06242,2.173,0.125
2456929.84705,ba,15.596,0.05909,2.329,0.127
2458431.80725,bb,15.567,0.06018,2.276,0.126
2457548.04568,bb,15.487,0.05677,2.45,0.128
2457248.99573,ba,15.568,0.0579,2.39,0.127
2457848.12682,ba,15.55,0.05715,2.43,0.128
2458371.92322,ba,15.591,0.05888,2.34,0.127
2456930.84459,ba,15.551,0.05719,2.427,0.128
2456829.99984,ba,15.531,0.05636,2.472,0.128
2458310.98652,ba,15.578,0.05832,2.368,0.127
2456862.97114,bb,15.575,0.06053,2.26,0.126
2458280.02676,bb,15.589,0.06115,2.23,0.125
2456898.90012,ba,15.652,0.06156,2.212,0.125
2457583.05103,bb,15.554,0.05961,2.303,0.126
2456817.00631,ba,15.567,0.05786,2.392,0.127
2457678.81556,ba,15.732,0.06526,2.055,0.123
2456593.75726,ba,15.627,0.06044,2.263,0.126
2456896.91042,bb,15.573,0.06044,2.263,0.126
2456757.11581,bb,15.679,0.0653,2.052,0.123
2456888.90783,ba,15.695,0.06352,2.126,0.124
2457706.77367,ba,15.617,0.06001,2.283,0.126
2457314.70767,bb,15.712,0.06689,1.991,0.123
2456813.02368,ba,15.525,0.05612,2.485,0.128
2456858.11942,ba,15.624,0.06031,2.27,0.126
2456981.75199,ba,15.573,0.05811,2.378,0.127
2457275.96782,ba,15.541,0.05677,2.449,0.128
2458048.84687,ba,15.594,0.05901,2.333,0.127
2456819.96241,bb,15.627,0.06287,2.153,0.125
2456788.04687,ba,15.677,0.06269,2.162,0.125
2456847.91185,bb,15.542,0.05909,2.329,0.127
2457613.83314,bb,15.484,0.05665,2.456,0.128
2457357.71486,bb,15.586,0.06102,2.235,0.125
2458010.9226,bb,15.537,0.05888,2.338,0.127
2457637.00021,bb,15.577,0.06062,2.255,0.126
2458348.86278,ba,15.553,0.05727,2.424,0.128
2456868.93851,ba,15.605,0.05948,2.309,0.126
2457321.85704,bb,15.581,0.0608,2.247,0.126
2457610.97015,bb,15.475,0.05628,2.476,0.128
2456932.82391,bb,15.559,0.05983,2.292,0.126
2456462.96189,bb,15.531,0.05862,2.352,0.127
2457997.87541,ba,15.607,0.05957,2.305,0.126
2457332.80813,ba,15.591,0.05888,2.338,0.127
2456858.12672,bb,15.594,0.06138,2.219,0.125
2457264.86261,ba,15.401,0.0513,2.787,0.132
2457687.71545,bb,15.663,0.06455,2.084,0.124
2457529.03012,bb,15.836,0.07319,1.776,0.12
2457695.70069,bb,15.564,0.06005,2.281,0.126
2456890.90441,ba,15.568,0.0579,2.389,0.127
2456760.11189,bb,15.5,0.05731,2.421,0.128
2458026.80117,bb,15.472,0.05616,2.483,0.128
2457324.8247,ba,15.77,0.06709,1.984,0.122
2457243.97015,ba,15.569,0.05794,2.387,0.127
2457226.93584,bb,15.629,0.06297,2.15,0.125
2456915.87265,ba,15.626,0.0604,2.265,0.126
2457325.73251,ba,15.627,0.06044,2.264,0.126
2457321.7306,ba,15.704,0.06394,2.108,0.124
2457221.88921,ba,15.512,0.05559,2.515,0.129
2456894.91553,bb,15.548,0.05935,2.316,0.126
2457928.99328,bb,15.616,0.06237,2.175,0.125
2456874.92295,bb,15.574,0.06049,2.26,0.126
2456820.00933,ba,15.699,0.0637,2.118,0.124
2457013.69602,bb,15.736,0.06807,1.948,0.122
2457583.97839,bb,15.638,0.06338,2.131,0.124
2457949.90282,ba,15.478,0.05424,2.597,0.13
2457491.11491,bb,15.56,0.05987,2.291,0.126
2456799.04093,bb,15.51,0.05773,2.399,0.127
2458017.9595,bb,15.591,0.06124,2.226,0.125
2457317.80697,bb,15.565,0.06009,2.28,0.126
2457137.08097,ba,15.663,0.06205,2.19,0.125
2456641.69042,ba,15.458,0.05346,2.644,0.13
2457500.10261,bb,15.554,0.05961,2.304,0.126
2458423.80176,ba,15.581,0.05845,2.362,0.127
2457932.01967,bb,15.527,0.05845,2.361,0.127
2457298.85238,ba,15.601,0.05931,2.317,0.126
2457193.97089,ba,15.702,0.06384,2.113,0.124
2456822.0167,ba,15.711,0.06426,2.094,0.124
2458037.86667,bb,15.661,0.06445,2.086,0.124
2456900.88753,ba,15.613,0.05983,2.292,0.126
2457319.83095,ba,15.488,0.05463,2.572,0.129
2457177.99771,bb,15.771,0.06983,1.886,0.121
2457353.72615,bb,15.468,0.05599,2.494,0.128
2456876.94895,bb,15.648,0.06384,2.113,0.124
2457926.1114,bb,15.572,0.0604,2.265,0.126
2457247.04158,ba,15.65,0.06147,2.216,0.125
2458020.72248,bb,15.698,0.06621,2.017,0.123
2456772.08946,ba,15.651,0.06151,2.213,0.125
2456909.8755,ba,15.787,0.06792,1.953,0.122
2457899.05515,ba,15.593,0.05896,2.334,0.127
2457199.93986,ba,15.612,0.05979,2.294,0.126
2456917.88165,bb,15.558,0.05979,2.294,0.126
2456967.77646,bb,15.631,0.06306,2.145,0.124
2457126.13138,bb,15.577,0.06062,2.255,0.126
2457229.82709,ba,15.606,0.05953,2.308,0.126
2457319.82366,bb,15.787,0.07064,1.858,0.121
2456848.98649,bb,15.525,0.05837,2.366,0.127
2456982.7435,ba,15.587,0.05871,2.348,0.127
2457202.8883,ba,15.572,0.05807,2.38,0.127
2457980.90399,bb,15.492,0.05698,2.439,0.128
2457915.00105,bb,15.486,0.05673,2.452,0.128
2456496.91248,bb,15.467,0.05595,2.495,0.128
2456487.972,bb,15.706,0.0666,2.003,0.123
2457317.78974,ba,15.543,0.05686,2.444,0.128
2457572.93341,ba,15.483,0.05443,2.584,0.129
2458021.94495,bb,15.661,0.06445,2.087,0.124
2456986.74877,bb,15.582,0.06084,2.245,0.126
2457710.78476,bb,15.576,0.06058,2.257,0.126
2456985.75046,bb,15.551,0.05948,2.309,0.126
2456873.96819,bb,15.603,0.06178,2.202,0.125
2457973.055,bb,15.564,0.06005,2.281,0.126
2458025.86653,ba,15.52,0.05591,2.498,0.128
2457210.07895,bb,15.622,0.06264,2.163,0.125
2457609.8056,bb,15.662,0.0645,2.085,0.124
2458368.72744,ba,15.556,0.0574,2.417,0.128
2457909.97239,ba,15.521,0.05595,2.495,0.128
2456890.92027,bb,15.577,0.06062,2.256,0.126
2456818.01453,ba,15.704,0.06394,2.108,0.124
2457205.89605,ba,15.809,0.06902,1.914,0.122
2457247.00055,bb,15.558,0.05979,2.295,0.126
2456918.87479,bb,15.584,0.06093,2.24,0.126
2457639.7463,bb,15.592,0.06129,2.224,0.125
2457883.03795,ba,15.561,0.05761,2.405,0.127
2458013.90901,bb,15.566,0.06014,2.278,0.126
2457966.88341,ba,15.595,0.05905,2.33,0.127
2458281.95785,ba,15.533,0.05644,2.469,0.128
2457185.05762,bb,15.524,0.05832,2.369,0.127
2457657.94022,bb,15.591,0.06124,2.227,0.125
2457271.00129,bb,15.662,0.0645,2.085,0.124
2457297.90238,ba,15.582,0.05849,2.358,0.127
2457939.90704,bb,15.556,0.0597,2.299,0.126
2457524.03996,ba,15.586,0.05866,2.35,0.127
2457914.95186,ba,15.842,0.07069,1.857,0.121
2456902.8772,ba,15.462,0.05361,2.635,0.13
2456933.88349,bb,15.595,0.06142,2.218,0.125
2457904.97816,ba,15.523,0.05604,2.49,0.128
2458004.8258,ba,15.622,0.06022,2.273,0.126
2458011.91404,ba,15.676,0.06264,2.163,0.125
2458326.93224,ba,15.95,0.07642,1.682,0.118
2457206.0144,bb,15.588,0.06111,2.233,0.126
2457955.89398,bb,15.546,0.05927,2.319,0.126
2457183.96841,ba,15.583,0.05854,2.358,0.127
2456857.11935,ba,15.601,0.05931,2.318,0.126
2457877.07624,bb,15.568,0.06022,2.274,0.126
2457662.7827,ba,15.615,0.05992,2.289,0.126
2456885.93238,bb,15.591,0.06124,2.225,0.125
2457110.13982,ba,15.881,0.07271,1.792,0.12
2456460.1016,bb,15.6,0.06165,2.208,0.125
2457175.97788,ba,15.404,0.05142,2.78,0.132
2457618.00255,bb,15.695,0.06607,2.022,0.123
2457206.99833,ba,15.45,0.05315,2.663,0.13
2456920.86497,ba,15.598,0.05918,2.324,0.127
2457217.99453,bb,15.646,0.06375,2.116,0.124
2457982.92888,ba,15.65,0.06147,2.215,0.125
2456533.86204,bb,15.515,0.05794,2.388,0.127
2456914.8838,bb,15.666,0.06469,2.077,0.124
2458033.90698,bb,15.532,0.05866,2.35,0.127
2456967.76127,ba,15.677,0.06269,2.161,0.125
2457248.98595,bb,15.585,0.06098,2.239,0.126
2457499.08634,ba,15.506,0.05535,2.531,0.129
2457230.84793,bb,15.663,0.06455,2.083,0.124
2457255.83312,bb,15.659,0.06436,2.091,0.124
2456922.87445,bb,15.68,0.06535,2.05,0.123
2457323.76105,bb,15.513,0.05786,2.393,0.127
2456489.98035,bb,15.601,0.06169,2.206,0.125
2456863.95152,ba,15.576,0.05824,2.371,0.127
2456924.86974,bb,15.615,0.06233,2.177,0.125
2456479.95487,bb,15.599,0.0616,2.21,0.125
2458097.69627,ba,15.631,0.06062,2.255,0.126
2456899.92168,bb,15.633,0.06315,2.141,0.124
2456889.90716,ba,17.055,99.99,-1.286,0.116
2457241.06601,bb,15.505,0.05752,2.409,0.127
2458393.90168,ba,15.485,0.05451,2.58,0.129
2457539.05342,ba,15.686,0.0631,2.143,0.124
2456973.77502,bb,15.666,0.06469,2.077,0.124
2457303.88695,ba,15.566,0.05782,2.394,0.127
2456795.05748,bb,15.665,0.06464,2.08,0.124
2456895.92018,bb,15.616,0.06237,2.175,0.125
2456788.05733,bb,15.601,0.06169,2.206,0.125
2456992.7166,ba,15.599,0.05922,2.323,0.127
2457183.08365,bb,15.476,0.05632,2.474,0.128
2457979.88877,ba,15.594,0.05901,2.333,0.127
2456913.9655,ba,15.608,0.05961,2.303,0.126
2457547.04905,bb,15.675,0.06511,2.06,0.123
2456535.8978,bb,15.58,0.06075,2.249,0.126
2456900.90193,bb,15.579,0.06071,2.25,0.126
2457568.94527,bb,15.555,0.05966,2.302,0.126
2456891.90701,ba,15.527,0.0562,2.481,0.128
2457238.07055,ba,15.565,0.05777,2.397,0.127
2457621.79757,bb,15.537,0.05888,2.34,0.127
2457169.0357,bb,15.527,0.05845,2.361,0.127
2457304.85229,ba,15.601,0.05931,2.319,0.127
2457003.70835,bb,15.614,0.06228,2.18,0.125
2456819.01726,bb,15.43,0.05447,2.581,0.129
2456508.94157,bb,15.53,0.05858,2.354,0.127
2458311.98171,bb,15.548,0.05935,2.316,0.126
2457244.84159,bb,15.547,0.05931,2.317,0.126
2457973.90736,ba,15.806,0.06887,1.92,0.122
2457183.0426,ba,15.591,0.05888,2.34,0.127
2457512.08699,bb,15.591,0.06124,2.227,0.125
2457272.96139,ba,15.535,0.05653,2.462,0.128
2456468.99503,bb,15.646,0.06375,2.116,0.124
2457690.84838,bb,15.557,0.05974,2.296,0.126
2458448.76186,bb,15.568,0.06022,2.274,0.126
2456885.92048,ba,15.538,0.05665,2.456,0.128
2457555.08003,ba,15.454,0.0533,2.654,0.13
2457262.00257,ba,15.703,0.06389,2.11,0.124
2457984.0039,bb,15.513,0.05786,2.391,0.127
2457592.01131,bb,15.811,0.07188,1.818,0.12
2457702.76737,bb,15.609,0.06205,2.19,0.125
2456784.0807,bb,15.615,0.06233,2.178,0.125
2456919.88214,bb,15.54,0.05901,2.332,0.127
2456993.70995,ba,15.633,0.06071,2.25,0.126
2457911.10661,bb,15.637,0.06333,2.134,0.124
2457549.04238,ba,15.542,0.05681,2.447,0.128
2457705.73209,bb,15.655,0.06417,2.099,0.124
2457894.08379,bb,15.552,0.05953,2.307,0.126
2457587.90218,bb,15.71,0.0668,1.995,0.123
2456832.99118,ba,15.615,0.05992,2.288,0.126
2457304.8602,bb,15.653,0.06408,2.102,0.124
2457533.10414,ba,15.588,0.05875,2.345,0.127
2457181.05691,ba,15.472,0.054,2.609,0.13
2457853.12373,bb,15.702,0.06641,2.009,0.123
2456992.74698,bb,15.484,0.05665,2.456,0.128
2457136.1173,bb,15.553,0.05957,2.306,0.126
2457946.93332,ba,15.713,0.06436,2.091,0.124
2457607.97537,bb,15.544,0.05918,2.325,0.127
2457362.72658,bb,15.712,0.06689,1.991,0.123
2457689.82523,ba,15.685,0.06306,2.145,0.124
2457004.70577,bb,15.539,0.05896,2.334,0.127
2457696.73054,ba,15.586,0.05866,2.35,0.127
2457210.09311,ba,15.784,0.06778,1.958,0.122
2456464.98552,bb,15.539,0.05896,2.335,0.127
2456543.87514,bb,15.624,0.06274,2.16,0.125
2456821.00396,ba,15.632,0.06067,2.252,0.126
2457633.96039,ba,15.504,0.05527,2.534,0.129
2456785.06712,bb,15.648,0.06384,2.112,0.124
2457938.88633,ba,15.463,0.05365,2.633,0.13
2456875.95225,bb,15.565,0.06009,2.279,0.126
2457900.06288,bb,15.532,0.05866,2.35,0.127
2457601.993,bb,15.539,0.05896,2.336,0.127
