hjd,camera,mag,mag_err,flux,flux_err
2457129.49721,be,13.411,0.02185,16.261,0.327
2457835.5651,bg,13.404,0.02187,16.681,0.336
2457714.77995,bg,13.407,0.02187,16.637,0.335
2457591.92189,bg,13.392,0.02188,16.869,0.34
2457691.75449,bg,13.378,0.0219,17.082,0.344
2457407.75325,bg,13.402,0.02187,16.723,0.337
2456631.92433,bc,13.397,0.02188,16.891,0.34
2457724.716,bg,13.408,0.02187,16.62,0.334
2457348.84085,bg,13.398,0.02188,16.785,0.338
2457609.88957,bg,13.376,0.0219,17.121,0.345
2457039.83659,bc,13.429,0.02186,16.402,0.33
2458121.62971,bg,13.396,0.02188,16.813,0.338
2457227.91727,be,13.419,0.02185,16.139,0.324
2457357.86698,bg,13.305,0.02203,18.279,0.371
2457394.73189,bg,13.427,0.02186,16.335,0.328
2458075.70135,bg,13.414,0.02186,16.527,0.332
2457234.91459,be,13.425,0.02185,16.048,0.323
2457727.68739,bg,13.413,0.02186,16.554,0.333
2457998.82499,bg,13.378,0.0219,17.088,0.344
2457318.69897,bg,13.449,0.02185,16.012,0.322
2458085.6021,bg,13.404,0.02187,16.678,0.336
2457980.89579,bg,13.436,0.02185,16.198,0.326
2457479.54042,bg,13.384,0.02189,16.995,0.342
2457445.63793,bg,13.423,0.02186,16.401,0.33
2458354.85796,bg,13.393,0.02188,16.859,0.339
2458356.85108,bg,13.386,0.02189,16.956,0.341
2457278.79961,bg,13.421,0.02186,16.423,0.33
2457076.57979,be,13.407,0.02186,16.315,0.328
2457346.6316,bg,13.423,0.02186,16.392,0.33
2457670.72862,bg,13.406,0.02187,16.65,0.335
2456969.74032,be,13.393,0.02186,16.53,0.332
2457461.5919,bg,13.417,0.02186,16.48,0.331
2457447.71939,bc,13.423,0.02186,16.482,0.332
2457329.83913,bg,13.42,0.02186,16.441,0.331
2457403.76048,bg,13.403,0.02187,16.697,0.336
2457839.54311,bg,13.386,0.02189,16.962,0.342
2458358.84416,bg,13.423,0.02186,16.401,0.33
2458045.82484,bg,13.387,0.02189,16.941,0.341
2457703.84144,bg,13.425,0.02186,16.363,0.329
2457745.5375,bg,13.362,0.02192,17.343,0.35
2457664.82827,bg,13.387,0.02189,16.954,0.341
2457339.8185,bg,13.421,0.02186,16.43,0.33
2457697.01813,bc,13.411,0.02187,16.664,0.335
2457119.52336,be,13.414,0.02185,16.215,0.326
2457668.86834,bg,13.42,0.02186,16.434,0.331
2456973.98318,bc,13.392,0.02189,16.964,0.342
2457858.49264,bg,13.387,0.02189,16.941,0.341
2456859.93918,be,13.428,0.02185,16.005,0.322
2457401.7571,bg,13.399,0.02188,16.767,0.337
2458149.80934,bc,13.424,0.02186,16.472,0.331
2457983.86686,bg,13.399,0.02188,16.763,0.337
2457955.92497,bg,13.382,0.02189,17.022,0.343
2456656.87217,bc,13.395,0.02189,16.91,0.34
2457732.80753,bg,13.415,0.02186,16.513,0.332
2457999.84887,bg,13.414,0.02186,16.536,0.333
2457870.46448,bg,13.405,0.02187,16.67,0.335
2457071.74222,bc,13.393,0.02189,16.944,0.341
2456986.95997,bc,13.402,0.02188,16.806,0.338
2457061.64707,be,13.403,0.02186,16.38,0.329
2458092.76664,bg,13.394,0.02188,16.844,0.339
2457711.78566,bg,13.407,0.02187,16.638,0.335
2457068.58849,be,13.41,0.02185,16.278,0.327
2458084.61634,bg,13.396,0.02188,16.809,0.338
2456927.80979,be,13.395,0.02186,16.507,0.332
2457380.80139,bg,13.433,0.02185,16.251,0.327
2457276.80415,bg,13.398,0.02188,16.774,0.338
2457035.70133,be,13.414,0.02185,16.212,0.326
2457396.75766,bg,13.414,0.02186,16.537,0.333
2457655.7883,bg,13.42,0.02186,16.445,0.331
2457088.6131,be,13.416,0.02185,16.189,0.325
2457372.59509,bg,13.452,0.02185,15.965,0.321
2458041.78435,bg,13.401,0.02187,16.737,0.337
2458153.79115,bc,13.367,0.02192,17.352,0.35
2457322.81471,bg,13.408,0.02187,16.625,0.334
2456630.93051,bc,13.402,0.02188,16.808,0.338
2457037.63844,be,13.406,0.02186,16.329,0.328
2457423.70607,bg,13.428,0.02186,16.325,0.328
2458111.7445,bg,13.42,0.02186,16.447,0.331
2458355.85437,bg,13.408,0.02187,16.619,0.334
2457438.64851,bg,13.41,0.02187,16.598,0.334
2457008.92754,bc,13.384,0.0219,17.089,0.344
2456931.80687,be,13.393,0.02186,16.538,0.333
2456991.9437,bc,13.407,0.02187,16.726,0.337
2456862.93214,be,13.384,0.02187,16.673,0.335
2457273.82634,be,13.421,0.02185,16.108,0.324
2458390.10914,bc,13.425,0.02186,16.45,0.331
2457848.53389,bg,13.399,0.02188,16.758,0.337
2457709.69309,bg,13.386,0.02189,16.963,0.342
2457309.0755,bc,13.413,0.02187,16.641,0.335
2457486.5227,bg,13.386,0.02189,16.969,0.342
2457398.7276,bg,13.462,0.02185,15.824,0.318
2457388.75086,bg,13.41,0.02187,16.596,0.334
2456982.93873,bc,13.427,0.02186,16.426,0.33
2457003.92339,bc,13.4,0.02188,16.841,0.339
2457441.65479,bg,13.431,0.02185,16.271,0.327
2457867.47442,bg,13.391,0.02188,16.88,0.34
2457753.79918,bg,13.391,0.02188,16.884,0.34
2457801.73256,bc,13.389,0.02189,17.016,0.343
2457452.62294,bg,13.425,0.02186,16.367,0.329
2457700.98339,bc,13.406,0.02188,16.744,0.337
2457855.50661,bg,13.365,0.02192,17.288,0.349
2457315.04066,bc,13.413,0.02187,16.644,0.335
2457771.63613,bg,13.422,0.02186,16.413,0.33
2457118.52245,be,13.388,0.02187,16.612,0.334
2457823.55673,bg,13.39,0.02189,16.909,0.34
2457424.7864,bc,13.416,0.02187,16.599,0.334
2457134.48291,be,13.419,0.02185,16.145,0.325
