HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458274.40167,2018-06-04.8966987,bn,1.50,16.975,>16.975,99.990,-0.077,0.118,g
2458274.40287,2018-06-04.8979047,bn,1.46,17.168,>17.168,99.990,0.173,0.099,g
2458274.40408,2018-06-04.8991092,bn,1.51,16.998,>16.998,99.990,-0.384,0.115,g
2458274.70619,2018-06-05.2012123,bi,1.48,16.866,>16.866,99.990,-0.185,0.130,g
2458274.70741,2018-06-05.2024275,bi,1.40,16.875,>16.875,99.990,-0.158,0.129,g
2458274.70863,2018-06-05.2036458,bi,1.43,16.895,>16.895,99.990,-0.101,0.127,g
2458276.46233,2018-06-06.9572682,bm,1.57,16.857,>16.857,99.990,-0.173,0.131,g
2458276.46392,2018-06-06.9588653,bm,1.57,17.106,>17.106,99.990,-0.119,0.104,g
2458276.46540,2018-06-06.9603456,bm,1.62,16.953,>16.953,99.990,-0.145,0.120,g
2458276.74108,2018-06-07.2360131,bi,1.38,16.882,>16.882,99.990,-0.128,0.128,g
2458276.74231,2018-06-07.2372388,bi,1.46,16.629,>16.629,99.990,-0.306,0.162,g
2458276.74352,2018-06-07.2384563,bi,1.47,17.108,>17.108,99.990,-0.367,0.104,g
2458276.75228,2018-06-07.2472131,bj,1.56,17.043,>17.043,99.990,-0.275,0.111,g
2458276.75350,2018-06-07.2484325,bj,1.55,17.018,>17.018,99.990,-0.100,0.113,g
2458276.75473,2018-06-07.2496591,bj,1.57,17.027,>17.027,99.990,-0.086,0.112,g
2458277.48937,2018-06-07.9842645,bn,1.53,17.377,>17.377,99.990,-0.065,0.081,g
2458277.49058,2018-06-07.9854731,bn,1.51,17.309,>17.309,99.990,-0.005,0.087,g
2458277.49181,2018-06-07.9867096,bn,1.53,17.427,>17.427,99.990,-0.166,0.078,g
2458277.50738,2018-06-08.0022811,bm,1.48,16.382,>16.382,99.990,-0.613,0.203,g
2458277.50879,2018-06-08.0036934,bm,1.51,16.933,>16.933,99.990,-0.161,0.122,g
2458277.51016,2018-06-08.0050618,bm,1.47,16.845,>16.845,99.990,0.055,0.133,g
2458277.68849,2018-06-08.1833820,bj,1.61,17.187,>17.187,99.990,0.030,0.097,g
2458277.68970,2018-06-08.1845969,bj,1.56,17.171,>17.171,99.990,-0.013,0.098,g
2458277.69092,2018-06-08.1858167,bj,1.54,17.254,>17.254,99.990,-0.062,0.091,g
2458280.45475,2018-06-10.9495376,bm,1.47,99.990,99.990,99.990,99.990,99.990,g
2458280.45596,2018-06-10.9507520,bm,1.47,99.990,99.990,99.990,99.990,99.990,g
2458280.51846,2018-06-11.0132476,bn,1.52,17.394,>17.394,99.990,-0.067,0.080,g
2458280.51967,2018-06-11.0144534,bn,1.52,17.518,>17.518,99.990,-0.016,0.071,g
2458280.52088,2018-06-11.0156579,bn,1.51,17.377,>17.377,99.990,-0.051,0.081,g
2458281.45572,2018-06-11.9504732,bm,1.47,17.235,>17.235,99.990,-0.025,0.093,g
2458281.45693,2018-06-11.9516814,bm,1.52,17.198,>17.198,99.990,-0.172,0.096,g
2458282.45443,2018-06-12.9491482,bm,1.49,17.028,>17.028,99.990,-0.109,0.112,g
2458282.45564,2018-06-12.9503518,bm,1.44,17.308,>17.308,99.990,-0.214,0.087,g
2458282.45687,2018-06-12.9515802,bm,1.52,17.294,>17.294,99.990,-0.245,0.088,g
2458282.48427,2018-06-12.9789880,bn,1.56,17.404,>17.404,99.990,-0.012,0.079,g
2458282.48550,2018-06-12.9802185,bn,1.57,17.502,>17.502,99.990,-0.109,0.072,g
2458282.48672,2018-06-12.9814377,bn,1.60,17.505,>17.505,99.990,0.063,0.072,g
2458283.53604,2018-06-14.0307142,bm,1.96,16.997,>16.997,99.990,0.089,0.115,g
2458283.53724,2018-06-14.0319189,bm,1.96,17.027,>17.027,99.990,-0.053,0.112,g
